resent_deserve,resent_slavery,resent_try,resent_workway,ofcrec_vp_correct,ofcrec_speaker_correct,ofcrec_cj_correct,knowl_senmaj,knowl_housemaj,gender_respondent_x,dem_agegrp_iwdate_x,sample_region,inc_totmiss40,relig_church,dem_edu,pid_self,libcpre_self,ftcasi_black,egal_equal,egal_toofar,egal_bigprob,egal_worryless,egal_notbigprob,egal_fewerprobs,knowl_senmaj_f,knowl_housemaj_f,resent_deserve_f,resent_slavery_f,resent_try_f,resent_workway_f,soph
3,3,3,3,0,0,0,0,1,2,4,1,1,1,3,3,4,50,3,2,3,2,2,4,Incorrect,Correct,Neither,Neither,Neither,Neither,0.2
2,3,3,3,0,0,0,0,0,1,9,2,2,1,9,2,6,60,3,2,2,3,4,3,Incorrect,Incorrect,Agree,Neither,Neither,Neither,0
2,2,4,4,1,0,1,0,0,2,8,1,1,2,14,1,2,50,2,4,2,5,5,2,Incorrect,Incorrect,Agree,Agree,Disagree,Disagree,0.4
3,5,3,1,1,1,1,1,1,1,10,3,2,1,12,2,6,50,4,1,5,1,3,2,Correct,Correct,Neither,Disagree Strongly,Neither,Agree Strongly,1
1,1,5,5,1,0,0,0,1,2,6,1,2,2,10,1,2,70,1,3,1,4,5,1,Incorrect,Correct,Agree Strongly,Agree Strongly,Disagree Strongly,Disagree Strongly,0.4
3,3,3,3,1,0,1,1,1,2,13,4,1,1,10,2,6,10,3,2,3,3,3,3,Correct,Correct,Neither,Neither,Neither,Neither,0.8
3,2,3,2,1,1,1,1,1,2,11,4,2,1,10,3,3,45,2,3,3,3,4,3,Correct,Correct,Neither,Agree,Neither,Agree,1
3,3,3,3,0,0,0,1,1,1,11,2,2,1,9,1,4,50,1,4,2,4,4,2,Correct,Correct,Neither,Neither,Neither,Neither,0.4
5,2,2,2,1,1,1,1,1,2,11,1,2,2,14,3,7,40,2,1,5,2,5,3,Correct,Correct,Disagree Strongly,Agree,Agree,Agree,1
3,3,3,3,0,0,0,1,1,2,9,3,2,1,11,1,2,85,3,3,3,3,3,3,Correct,Correct,Neither,Neither,Neither,Neither,0.4
2,1,4,5,1,1,1,1,1,1,8,3,1,2,95,1,4,100,1,5,1,5,5,2,Correct,Correct,Agree,Agree Strongly,Disagree,Disagree Strongly,1
2,2,4,4,1,1,1,1,1,2,11,2,2,2,10,1,1,40,1,5,1,3,5,2,Correct,Correct,Agree,Agree,Disagree,Disagree,1
3,5,3,3,0,1,1,1,1,2,11,3,2,1,9,1,2,100,1,5,2,1,5,1,Correct,Correct,Neither,Disagree Strongly,Neither,Neither,0.8
3,4,3,2,1,1,0,1,1,2,13,3,1,1,10,1,4,85,2,2,2,3,3,2,Correct,Correct,Neither,Disagree,Neither,Agree,0.8
5,5,1,1,1,1,0,0,0,1,8,1,1,1,13,2,5,30,3,2,5,1,3,3,Incorrect,Incorrect,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,0.4
3,3,2,2,1,1,1,0,0,2,13,2,2,1,10,2,4,50,3,3,4,3,3,3,Incorrect,Incorrect,Neither,Neither,Agree,Agree,0.6
3,2,4,4,1,0,1,0,0,2,10,3,2,2,10,1,2,65,1,5,2,5,4,2,Incorrect,Incorrect,Neither,Agree,Disagree,Disagree,0.4
3,4,4,4,1,1,1,0,1,1,6,2,1,2,13,2,6,50,3,3,2,3,4,2,Incorrect,Correct,Neither,Disagree,Disagree,Disagree,0.8
3,2,4,4,1,0,0,1,1,1,9,2,1,1,14,1,2,85,1,3,2,4,4,2,Correct,Correct,Neither,Agree,Disagree,Disagree,0.6
4,2,2,2,1,0,0,1,1,2,12,3,2,1,10,2,7,30,2,2,2,2,2,5,Correct,Correct,Disagree,Agree,Agree,Agree,0.6
1,1,5,4,1,1,1,1,1,1,10,3,1,1,15,3,5,90,1,5,1,5,5,1,Correct,Correct,Agree Strongly,Agree Strongly,Disagree Strongly,Disagree,1
4,2,3,2,1,1,1,1,1,2,13,1,1,1,13,2,5,70,2,3,4,2,2,4,Correct,Correct,Disagree,Agree,Neither,Agree,1
5,4,1,1,1,1,1,1,1,2,4,3,1,1,13,2,6,50,5,1,5,1,2,4,Correct,Correct,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly,1
5,5,2,1,1,0,0,1,1,1,10,3,2,1,10,3,4,100,2,2,3,2,4,4,Correct,Correct,Disagree Strongly,Disagree Strongly,Agree,Agree Strongly,0.6
2,2,2,2,1,0,1,0,1,2,10,1,2,2,10,1,3,90,1,4,3,3,4,2,Incorrect,Correct,Agree,Agree,Agree,Agree,0.6
2,1,4,4,1,1,0,1,1,1,9,3,1,1,11,1,4,80,1,5,1,4,5,2,Correct,Correct,Agree,Agree Strongly,Disagree,Disagree,0.8
3,3,3,3,1,0,0,1,1,2,11,2,2,1,11,1,4,100,3,3,3,3,3,3,Correct,Correct,Neither,Neither,Neither,Neither,0.6
2,2,2,1,1,1,0,1,1,1,13,3,1,1,14,3,3,85,2,2,2,2,4,2,Correct,Correct,Agree,Agree,Agree,Agree Strongly,0.8
4,4,1,1,1,1,1,1,1,2,13,3,1,2,13,2,4,50,1,3,2,2,3,2,Correct,Correct,Disagree,Disagree,Agree Strongly,Agree Strongly,1
5,4,1,1,1,0,0,1,1,1,10,4,1,2,10,2,6,50,3,2,2,1,1,3,Correct,Correct,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly,0.6
4,4,3,1,1,0,1,1,1,2,11,2,1,1,13,2,5,70,3,3,2,3,3,4,Correct,Correct,Disagree,Disagree,Neither,Agree Strongly,0.8
3,1,4,3,1,0,0,0,0,2,11,2,1,1,13,1,4,85,1,4,2,5,4,3,Incorrect,Incorrect,Neither,Agree Strongly,Disagree,Neither,0.2
5,4,2,1,1,0,0,0,1,2,10,3,1,1,13,2,6,50,3,4,4,3,3,3,Incorrect,Correct,Disagree Strongly,Disagree,Agree,Agree Strongly,0.4
3,2,4,3,1,1,1,1,1,1,10,2,2,2,13,3,2,50,2,4,2,4,5,2,Correct,Correct,Neither,Agree,Disagree,Neither,1
5,5,1,1,1,1,0,1,0,1,3,3,2,1,8,2,4,50,2,3,3,2,3,2,Correct,Incorrect,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,0.6
3,4,3,5,1,1,1,0,0,2,8,3,2,1,8,1,2,98,1,5,1,5,3,1,Incorrect,Incorrect,Neither,Disagree,Neither,Disagree Strongly,0.6
3,2,4,4,1,1,1,1,1,2,10,4,1,1,14,1,2,100,1,5,2,5,5,2,Correct,Correct,Neither,Agree,Disagree,Disagree,1
4,5,5,5,1,0,0,0,0,1,8,4,1,1,15,2,4,15,3,3,3,3,3,3,Incorrect,Incorrect,Disagree,Disagree Strongly,Disagree Strongly,Disagree Strongly,0.2
5,4,1,1,1,0,0,0,1,2,2,2,1,1,13,2,6,25,3,2,5,1,3,5,Incorrect,Correct,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly,0.4
5,5,1,1,1,0,0,1,0,2,9,4,1,1,9,2,7,70,1,3,4,1,2,2,Correct,Incorrect,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,0.4
4,4,3,3,1,0,1,0,0,1,2,3,2,1,13,3,4,60,2,3,4,4,4,2,Incorrect,Incorrect,Disagree,Disagree,Neither,Neither,0.4
3,2,4,3,1,1,1,1,1,1,10,3,2,2,13,2,4,60,2,4,3,4,4,1,Correct,Correct,Neither,Agree,Disagree,Neither,1
5,5,1,1,1,0,0,1,1,1,4,4,1,2,95,1,3,55,4,4,4,2,2,3,Correct,Correct,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,0.6
3,2,3,2,0,0,0,1,0,1,12,2,1,2,12,3,6,70,1,2,2,1,5,4,Correct,Incorrect,Neither,Agree,Neither,Agree,0.2
5,5,1,1,1,0,0,1,1,1,2,3,2,1,12,3,5,60,4,2,4,2,4,5,Correct,Correct,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,0.6
5,4,5,2,1,1,1,1,1,1,11,1,1,1,12,1,2,75,1,5,1,5,3,2,Correct,Correct,Disagree Strongly,Disagree,Disagree Strongly,Agree,1
3,3,3,3,1,1,1,1,1,1,1,4,1,1,10,3,6,70,1,3,5,2,3,4,Correct,Correct,Neither,Neither,Neither,Neither,1
3,3,3,3,1,0,0,0,0,2,12,1,2,1,9,1,4,85,1,3,2,3,3,2,Incorrect,Incorrect,Neither,Neither,Neither,Neither,0.2
2,2,4,4,1,1,1,1,1,2,8,4,1,2,13,1,2,70,2,4,2,5,5,3,Correct,Correct,Agree,Agree,Disagree,Disagree,1
1,2,4,5,1,1,1,1,1,1,13,4,1,2,8,3,3,90,3,4,2,3,2,3,Correct,Correct,Agree Strongly,Agree,Disagree,Disagree Strongly,1
5,5,4,2,1,0,1,1,1,1,10,4,1,2,10,2,5,50,4,1,4,2,3,3,Correct,Correct,Disagree Strongly,Disagree Strongly,Disagree,Agree,0.8
5,5,1,1,1,1,1,1,1,2,9,3,1,1,14,3,7,50,5,2,5,2,2,5,Correct,Correct,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,1
2,2,2,3,1,1,1,1,1,2,5,3,2,2,11,3,4,85,3,4,3,3,2,2,Correct,Correct,Agree,Agree,Agree,Neither,1
2,2,4,4,1,1,1,1,1,1,9,3,1,2,13,3,1,85,1,5,1,5,5,1,Correct,Correct,Agree,Agree,Disagree,Disagree,1
4,5,1,1,1,0,0,0,1,1,9,2,1,2,9,1,4,85,1,3,3,3,3,2,Incorrect,Correct,Disagree,Disagree Strongly,Agree Strongly,Agree Strongly,0.4
1,1,5,5,1,1,0,1,1,1,10,3,1,1,14,1,3,80,1,5,1,4,5,1,Correct,Correct,Agree Strongly,Agree Strongly,Disagree Strongly,Disagree Strongly,0.8
5,5,1,3,1,1,0,1,1,1,5,3,1,2,10,2,5,40,2,3,3,4,3,4,Correct,Correct,Disagree Strongly,Disagree Strongly,Agree Strongly,Neither,0.8
5,5,4,3,1,0,1,0,0,2,9,3,2,1,13,2,5,85,3,4,4,4,4,4,Incorrect,Incorrect,Disagree Strongly,Disagree Strongly,Disagree,Neither,0.4
4,2,4,2,1,0,1,1,1,1,5,1,1,2,14,3,3,60,2,3,4,4,3,3,Correct,Correct,Disagree,Agree,Disagree,Agree,0.8
5,5,3,1,1,1,1,1,1,2,13,3,2,1,10,2,6,70,5,1,5,1,1,5,Correct,Correct,Disagree Strongly,Disagree Strongly,Neither,Agree Strongly,1
3,4,3,4,1,0,0,0,0,1,8,3,2,1,10,1,5,85,1,3,2,2,3,3,Incorrect,Incorrect,Neither,Disagree,Neither,Disagree,0.2
3,2,2,3,0,0,0,0,0,2,3,2,2,1,12,3,4,60,1,4,1,1,4,1,Incorrect,Incorrect,Neither,Agree,Agree,Neither,0
2,3,3,2,1,0,0,1,0,2,3,3,2,2,14,2,5,85,2,3,3,2,2,4,Correct,Incorrect,Agree,Neither,Neither,Agree,0.4
3,4,2,3,1,0,1,0,1,2,1,4,2,1,10,3,3,70,2,5,2,4,3,2,Incorrect,Correct,Neither,Disagree,Agree,Neither,0.6
5,2,2,1,1,1,1,1,1,2,11,3,1,1,9,2,6,60,2,1,2,2,4,4,Correct,Correct,Disagree Strongly,Agree,Agree,Agree Strongly,1
1,2,4,4,1,1,0,0,0,2,10,3,1,1,10,1,4,90,1,5,1,5,5,2,Incorrect,Incorrect,Agree Strongly,Agree,Disagree,Disagree,0.4
2,2,4,4,1,1,1,0,0,2,4,3,1,1,10,1,4,100,1,4,1,4,5,1,Incorrect,Incorrect,Agree,Agree,Disagree,Disagree,0.6
4,4,1,2,1,1,1,1,1,2,5,1,1,2,13,1,3,50,4,2,4,2,3,4,Correct,Correct,Disagree,Disagree,Agree Strongly,Agree,1
3,3,3,3,1,0,0,1,0,1,11,3,2,2,9,1,2,100,1,3,3,3,3,3,Correct,Incorrect,Neither,Neither,Neither,Neither,0.4
2,1,4,4,1,1,0,1,1,2,4,2,2,1,13,1,2,50,1,5,2,4,5,2,Correct,Correct,Agree,Agree Strongly,Disagree,Disagree,0.8
4,2,3,2,1,1,0,1,1,2,9,2,2,1,9,2,6,50,2,3,4,3,3,4,Correct,Correct,Disagree,Agree,Neither,Agree,0.8
2,2,4,4,1,1,1,0,1,2,8,3,1,1,13,1,5,85,2,4,2,4,3,3,Incorrect,Correct,Agree,Agree,Disagree,Disagree,0.8
5,5,4,1,1,1,1,1,0,1,4,2,1,1,13,3,4,25,1,1,1,1,4,2,Correct,Incorrect,Disagree Strongly,Disagree Strongly,Disagree,Agree Strongly,0.8
1,1,1,5,1,0,0,0,1,2,1,3,2,1,9,1,4,100,3,3,2,3,4,2,Incorrect,Correct,Agree Strongly,Agree Strongly,Agree Strongly,Disagree Strongly,0.4
4,2,3,2,1,0,0,0,0,2,1,2,1,2,10,1,2,95,2,4,2,4,4,2,Incorrect,Incorrect,Disagree,Agree,Neither,Agree,0.2
5,5,3,1,1,1,1,1,1,2,2,4,1,2,10,1,2,100,1,5,2,5,5,1,Correct,Correct,Disagree Strongly,Disagree Strongly,Neither,Agree Strongly,1
5,5,5,2,1,1,1,1,1,1,12,2,2,1,5,3,6,50,2,2,5,1,3,3,Correct,Correct,Disagree Strongly,Disagree Strongly,Disagree Strongly,Agree,1
4,3,2,3,1,0,0,1,0,2,8,3,1,1,9,1,4,70,1,3,3,3,4,2,Correct,Incorrect,Disagree,Neither,Agree,Neither,0.4
5,2,5,2,0,0,0,0,1,2,8,3,2,1,9,1,5,100,1,1,2,3,5,1,Incorrect,Correct,Disagree Strongly,Agree,Disagree Strongly,Agree,0.2
4,2,4,4,1,1,1,1,1,2,8,2,1,1,14,3,4,65,2,4,2,4,4,2,Correct,Correct,Disagree,Agree,Disagree,Disagree,1
2,3,2,2,1,0,0,0,1,2,1,4,1,1,9,2,4,50,2,4,2,3,2,3,Incorrect,Correct,Agree,Neither,Agree,Agree,0.4
2,2,5,4,1,0,0,1,0,2,8,3,2,1,9,1,4,85,1,1,2,2,5,2,Correct,Incorrect,Agree,Agree,Disagree Strongly,Disagree,0.4
5,5,1,1,1,1,0,0,0,1,6,3,2,1,9,2,3,30,2,3,3,2,3,2,Incorrect,Incorrect,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,0.4
5,5,1,1,1,1,0,1,1,1,4,1,1,2,13,3,5,30,3,2,4,2,2,5,Correct,Correct,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,0.8
5,5,1,1,1,1,0,1,1,2,7,3,1,1,13,2,6,75,2,2,5,1,2,4,Correct,Correct,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,0.8
5,5,1,1,0,0,0,0,1,1,6,3,2,1,9,3,6,60,1,2,2,4,4,3,Incorrect,Correct,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,0.2
3,3,3,3,1,0,0,0,1,1,4,4,2,1,13,2,2,50,2,3,3,3,3,3,Incorrect,Correct,Neither,Neither,Neither,Neither,0.4
4,5,3,1,0,0,0,1,0,2,13,1,2,1,9,2,1,15,4,5,2,4,5,4,Correct,Incorrect,Disagree,Disagree Strongly,Neither,Agree Strongly,0.2
4,5,3,4,0,0,0,0,0,2,7,3,1,1,9,2,6,85,4,4,4,3,2,3,Incorrect,Incorrect,Disagree,Disagree Strongly,Neither,Disagree,0
